,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,difficulty_level
duration,1.0,0.06895856592861466,0.03405558342162899,-0.0016512509545930812,-0.00961575589424293,0.0024259655762705465,0.0006641321524299332,0.0005248492543370388,-0.0644742474702143,0.04399836056271918,0.04679183331463279,0.08725702976708319,0.046907926331324575,0.08324273981601077,-0.0009958127673984688,0.06738818882969208,,-0.0008244981057863321,-0.0002597545974395083,-0.07809101158562592,-0.03909414505574589,-0.06462789027682068,-0.06462554798621857,0.16466123579838898,0.16505750962581747,0.07472012915506179,-0.017783683944662076,-0.03948546048250069,0.05031129523927094,-0.09801281675545502,-0.10463072992564158,0.22363508216990224,0.20127558605382828,-0.025949763554679844,-0.05380961172852279,-0.05230579971287924,0.1438961755353119,0.1633058537041789,-0.1269796896682507
src_bytes,0.06895856592861466,1.0,0.00021184574383185747,-0.00010916840588574763,-0.0006334051054587939,-7.415308637071607e-05,0.00034719739421863223,-0.00044299642610714905,-0.0032855515647446697,-7.925732592871096e-05,-0.0002742648265454569,-0.00016571572340045484,-8.687315672740367e-05,-0.00015094461029295544,-0.00013017305991322393,-0.000301960741313997,,-6.659145581498978e-05,-0.0008165005895765138,-0.004796179960806725,-0.0026091275248449554,-0.002785339766998057,-0.0029903126186145304,0.011591278372020966,0.01181152960436617,0.003633836674176348,-0.0006374685072444666,-0.0025002160448283203,-0.005585672559219901,-0.006663312459784624,-0.006312112914845822,0.0007296312964912156,0.0005590631468357914,-0.0014235971543976901,-0.0040025190431472145,-0.0029592213930764036,-0.0017455651264308312,0.010494424532922252,-0.017769933257414584
dst_bytes,0.03405558342162899,0.00021184574383185747,1.0,-6.773807237434047e-05,-0.00039445828363792904,0.000178806496936546,-0.0002967818888158574,9.623822458196556e-05,-0.0026352773366754706,0.0012525183507712601,0.0009711374956492605,0.001155124507499069,0.0012497750460557352,8.627381477130696e-05,-6.0835473935787983e-05,0.00035341746278329993,,-3.804546168062209e-05,-0.00046126308297719554,-0.0032263327964979355,-0.001611065080866461,-0.0026647131587070874,-0.002648506310653367,0.009446287672482487,0.009376736300886776,0.0034501357955832664,-0.0015875382284596179,-0.0015529897546049617,0.002225016364350137,-0.003977322115244029,-0.004167506048483559,0.009833870705722855,0.01084737531423126,-0.001143332564812261,-0.002638810936714224,-0.0025668246044520697,0.009985551349417887,0.009599370147327702,-0.013567300684069195
land,-0.0016512509545930812,-0.00010916840588574763,-6.773807237434047e-05,1.0,-0.0012549827116345458,-0.00015272015426627585,-0.0013809841655858734,-0.0008783483949418347,-0.012056146442123808,-0.0001684279275536231,-0.0005705548232807062,-0.0003381217821771321,-0.00017710702666300562,-0.0003422348828320722,-0.00027833372679771654,-0.0006184577601193147,,-0.0001319634868965203,-0.0016387889209412063,-0.010041766036943952,-0.0051437202806222425,0.024544499813027948,0.02527145578171333,-0.0050612760082624705,-0.005948317939413392,0.009252622374145727,-0.002564902819918854,0.04054795484638651,-0.024564274564434326,-0.01521387734677343,0.00942513783069453,-0.004611885951835299,0.032151127357331166,0.07211885053606096,0.02049602957029504,0.015018982542166739,-0.005982944799931902,-0.005972144532830953,-0.026943856542282072
wrong_fragment,-0.00961575589424293,-0.0006334051054587939,-0.00039445828363792904,-0.0012549827116345458,1.0,-0.0008893376984708726,-0.00804190701186373,-0.005114900150318002,-0.07020674894403078,-0.0009808090239851034,-0.00332252095884611,-0.001968989941170331,-0.0010313501595923724,-0.001992941825501619,-0.0016208252092616267,-0.0036014748913032893,,-0.0007684650679053067,-0.009543185535867554,-0.01992093662218291,0.02114294653766251,-0.03816234803203884,-0.05046084328573718,-0.034368024059244585,-0.03463893427443268,0.05117576058352632,-0.025896334706653434,-0.022829222333905583,0.03255175779782919,-0.04665870345907746,-0.04659022084126909,0.051987907382836034,0.04005731046479242,-0.009777383466128463,-0.045494814123301565,-0.049994339365884176,0.019283021854100024,-0.034777684054081784,-0.1305829137890843
urgent,0.0024259655762705465,-7.415308637071607e-05,0.000178806496936546,-0.00015272015426627585,-0.0008893376984708726,1.0,0.008150734801247997,0.0377753006777093,0.011253347499651617,0.029033818239616514,0.17831159470289326,0.06520577348989813,0.031588066266733925,0.023194146604470806,0.037358503146796486,0.028684835541570065,,-9.35153150961648e-05,-0.0011613201948664457,-0.007336011436202294,-0.003761534866667896,-0.006188264060068156,-0.006140632615541812,-0.004228440738572256,-0.004215248016541067,0.007793044553346117,-0.003621239929146561,-0.003915611938115125,-0.011494149038062547,-0.009654643256023018,-0.0038817725565156946,0.007247832201902297,0.0022493918543419725,0.0053856910493262295,-0.005675926023423083,-0.00606772384721992,-0.003789186189777284,-0.0010983070368001666,-0.04459749223131691
hot,0.0006641321524299332,0.00034719739421863223,-0.0002967818888158574,-0.0013809841655858734,-0.00804190701186373,0.008150734801247997,1.0,0.00029714431064321634,0.11322992893403964,0.0025816826296097685,0.025474906149188292,0.00043712738137310296,0.002082514530309223,0.09085496429574802,0.009083281610382585,0.0007770286779344145,,0.006596420853532975,0.720316579449493,-0.06600432710209608,-0.03340256074054172,-0.05444003213999464,-0.05414439453693776,-0.03476895301957011,-0.03394696926072051,0.06663558002978917,-0.01770474215501863,-0.026140571470596976,-0.012182068392492548,-0.051125238387247744,-0.03621024527769801,-0.00975106265732336,-0.033311242889481625,-0.022945046663115715,-0.05312625663948893,-0.053733855375760045,-0.03154863617594617,-0.03421233124776384,-0.1307019201691434
num_failed_logins,0.0005248492543370388,-0.00044299642610714905,9.623822458196556e-05,-0.0008783483949418347,-0.005114900150318002,0.0377753006777093,0.00029714431064321634,1.0,-0.03906595080716748,0.010565180372379617,0.016886928865238043,0.04039527594292069,0.00994549875065088,0.012282391724175806,-0.0011343974764257715,0.00334960431098049,,0.00983059210459697,0.07869151445442898,-0.042096251523493715,-0.02150657430981018,-0.03364896348220792,-0.033808871538728434,-0.0010247675291511294,-0.0011121760632130683,0.04398372511786826,-0.017882729744892144,-0.02216009792707851,0.005603610448270131,-0.0062386876555438064,0.003340005148239807,-0.013585203319335366,-0.023664222519772755,-0.009838956394253204,-0.03230455973277934,-0.031960700728408946,-0.007965143726247008,-0.004593935619638688,-0.15224973892129126
logged_in,-0.0644742474702143,-0.0032855515647446697,-0.0026352773366754706,-0.012056146442123808,-0.07020674894403078,0.011253347499651617,0.11322992893403964,-0.03906595080716748,1.0,0.013970295430813602,0.04732480863762579,0.02804559349044867,0.01469018541813628,0.02833373588441949,0.02308645869008582,0.0512981293888757,,0.01094574352841676,0.12322954407197309,-0.530779224831039,-0.19901793978612897,-0.46649246372516767,-0.4649519427840796,-0.29462927529945093,-0.29134914275222623,0.590626892347941,-0.22117245005574335,0.12200364809967516,-0.38598477810858456,0.6181499726600836,0.5988292691519038,-0.25691152093236275,-0.17722190304614463,-0.054806530216810034,-0.46580553803098246,-0.46852967939079576,-0.29070502713517354,-0.29469005532563036,0.22427542161692676
num_compromised,0.04399836056271918,-7.925732592871096e-05,0.0012525183507712601,-0.0001684279275536231,-0.0009808090239851034,0.029033818239616514,0.0025816826296097685,0.010565180372379617,0.013970295430813602,1.0,0.21164417431307392,0.3731157576445257,0.9987247769091526,0.014416392999099609,0.0051181867457865205,0.29563421107934035,,0.0002338229343614491,-0.0012725250173834387,-0.008059995401358896,-0.004125580019687645,-0.004807903062492694,-0.004795371340648691,-0.004053065503890101,-0.004005043461938196,0.008546345236150917,-0.003956558037042331,-0.0041414200449475065,-0.011187860223915845,-0.010328720641900135,-0.005223713345840605,0.0026181666848046955,-0.001998471785851363,0.0040640346169673195,-0.0039009283636559054,-0.004389715281670956,-0.004043914520952758,-0.0035716376426409703,-0.004907317906224652
